listing_id,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,color,doors,car_age,price_per_mile,is_luxury_model,mileage_per_year
BMW100000,4 Series,2006,7114.12,Automatic,213994.0,Diesel,145.0,37.7,2.5,Red,4,18,0.033244483490191316,False,11888.555555555555
BMW100001,3 Series,2018,31369.52,Manual,64151.0,Hybrid,205.0,31.0,2.5,Green,4,6,0.4889950273573288,False,10691.833333333334
BMW100002,M2,2015,41810.79,Manual,112178.0,Diesel,30.0,41.8,2.0,Black,4,9,0.37271826917934,True,12464.222222222223
BMW100003,3 Series,2018,28074.49,Manual,68162.0,Diesel,30.0,52.2,1.5,Silver,3,6,0.41187890613538336,False,11360.333333333334
BMW100004,3 Series,2007,13480.2,Automatic,206550.0,Diesel,30.0,28.3,3.5,Red,3,17,0.0652636165577342,False,12150.0
BMW100005,Z4,2007,11146.87,Manual,205930.0,Petrol,145.0,37.6,1.5,Silver,5,17,0.0541294129072986,False,12113.529411764706
BMW100006,2 Series,2009,16440.63,Automatic,181476.0,DIESEL,125.0,47.6,2.0,Grey,5,15,0.09059396283806123,False,12098.4
BMW100007,X2,2011,14698.83,Manual,158298.0,Petrol,20.0,35.0,1.5,White,2,13,0.09285543721335708,False,12176.76923076923
BMW100008, 2 Series ,2006,9412.83,Automatic,218864.0,Diesel,145.0,63.4,,Grey,5,18,0.04300766686161269,False,12159.111111111111
BMW100009,X1,2021,48130.0,Automatic,40894.0,Electric,145.0,48.3,1.6,Grey,5,3,1.1769452731452046,False,13631.333333333334
BMW100010,4 Series,2019,34103.04,Semi-Auto,58935.0,DIESEL,145.0,44.7,2.5,,5,5,0.578655128531433,False,11787.0
BMW100011,2 Series,2007,18982.57,Manual,182022.0,Diesel,125.0,41.7,,Blue,4,17,0.10428722901627276,False,10707.176470588236
BMW100012,i3,2020,36306.19,Automatic,44444.0,Hybrid,30.0,38.1,2.0,Red,4,4,0.8168974439744398,False,11111.0
BMW100013,M4,2023,65033.91,Manual,15053.0,Diesel,0.0,,2.0,White,4,1,4.320328838105361,True,15053.0
BMW100014,6 Series,2014,29277.56,Automatic,114078.0,Petrol,,,3.0,Red,5,10,0.25664510247374606,False,11407.8
BMW100015,X4,2006,11389.1,manual,219278.0,Diesel,30.0,38.7,3.0,White,5,18,0.05193909101688268,False,12182.111111111111
BMW100016,X5,2007,17961.0,Semi-Auto,212079.0,Diesel,150.0,,1.6,Blue,4,17,0.08469013905195705,True,12475.235294117647
BMW100017,5 Series,2016,25560.99,Manual,96803.0,Diesel,0.0,39.4,2.0,Grey,5,8,0.2640516306312821,False,12100.375
BMW100018,X5,2021,60605.18,Automatic,28040.0,Petrol,145.0,40.4,2.0,Grey,5,3,2.16138302425107,True,9346.666666666666
BMW100019,M5,2013,38111.67,Semi-Auto,136476.0,Petrol,30.0,28.0,2.0,Black,4,11,0.27925547348984436,True,12406.90909090909
BMW100020,1 Series,2008,13378.98,Semi-Auto,176224.0,Diesel,125.0,40.4,1.5,Silver,4,16,0.07592030597421463,False,11014.0
BMW100021,1 Series,2017,36042.51,Automatic,82855.0,Diesel,125.0,24.9,4.4,White,4,7,0.43500706052742744,False,11836.42857142857
BMW100022,5 Series,2014,22109.31,Manual,114653.0,Diesel,145.0,44.2,1.6,Grey,3,10,0.19283673344788188,False,11465.3
BMW100023,3 Series,2009,9435.17,Semi-Auto,180581.0,Diesel,125.0,42.1,1.5,White,4,15,0.0522489630692044,False,12038.733333333334
BMW100024,X1,2022,43752.67,Manual,28228.0,Diesel,0.0,31.9,3.0,Green,4,2,1.5499741391526143,False,14114.0
BMW100025,3 Series,2011,18524.23,Manual,159367.0,Diesel,145.0,50.4,1.6,Red,5,13,0.11623629735139646,False,12259.0
BMW100026,2 Series,2023,45998.06,Automatic,15652.0,Petrol,145.0,31.3,3.0,Silver,5,1,2.938797597751086,False,15652.0
BMW100027,4 Series,2015,20181.78,Automatic,107945.0,Petrol,30.0,43.1,1.5,Red,3,9,0.1869635462504053,False,11993.888888888889
BMW100028,5 Series,2018,35977.47,Automatic,58953.0,Diesel,145.0,0.0,2.5,Grey,3,6,0.6102737774159076,False,9825.5
BMW100029,1 Series,2020,32326.58,Manual,,Diesel,125.0,38.5,2.0,Blue,5,4,,False,
BMW100030,3 Series,2010,15456.02,Automatic,167266.0,Hybrid,20.0,23.8,1.5,,5,14,0.09240383580644004,False,11947.57142857143
BMW100031,5 Series,2007,9542.34,Automatic,202409.0,Diesel,150.0,33.8,2.0,Grey,2,17,0.04714385229905785,False,11906.411764705883
BMW100032,3 Series,2012,24147.81,Semi-Auto,142021.0,Petrol,150.0,36.0,3.0,Black,5,12,0.170029854739792,False,11835.083333333334
BMW100033,X1,2009,16419.98,Semi-Auto,184351.0,Diesel,150.0,31.0,3.5,Black,4,15,0.08906911272518185,False,12290.066666666668
BMW100034,X3,2008,16692.14,Manual,195118.0,Diesel,30.0,17.8,3.0,Black,2,16,0.08554894986623479,False,12194.875
BMW100035,X1,2019,34020.69,Manual,64452.0,Petrol,,29.2,2.5,Blue,4,5,0.5278453733010613,False,12890.4
BMW100036,X1,2015,23815.24,Automatic,123763.0,Petrol,125.0,31.2,2.5,Black,4,9,0.19242616937210638,False,13751.444444444445
BMW100037,1 Series,2013,28033.66,Automatic,141270.0,Hybrid,125.0,17.7,4.4,White,4,11,0.19844029164012175,False,12842.727272727272
BMW100038,1 Series,2011,17398.61,MANUAL,145022.0,Petrol,30.0,39.6,2.0,,5,13,0.11997221111279668,False,11155.538461538461
BMW100039,X1,2017,28956.91,Semi-Auto,93819.0,Petrol,205.0,46.0,1.5,Grey,4,7,0.30864654281115766,False,13402.714285714286
BMW100040,7 Series,2014,41744.1,Manual,113107.0,Diesel,125.0,41.4,2.5,Green,4,10,0.369067343312085,True,11310.7
BMW100041,3 Series,2011,20460.64,Semi-Auto,152388.0,Petrol,125.0,46.6,3.0,Grey,4,13,0.13426674016326745,False,11722.153846153846
